Title,Date,Category,Link,Agency
"Gastro Group of the Palm Beaches Agreed to Pay $16,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Hospital-Based Consultation Services that Were Not Rendered",2022-01-12,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/gastro-group-of-the-palm-beaches-agreed-to-pay-16000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-hospital-based-consultation-services-that-were-not-rendered/,No agency found
"Bowie, Maryland Nurse Practitioner Pleads Guilty to Conspiracy to Distribute and Dispense Oxycodone",2022-01-11,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/bowie-maryland-nurse-practitioner-pleads-guilty-to-conspiracy-to-distribute-and-dispense-oxycodone/,"U.S. Attorney’s Office, District of Maryland"
UC San Diego Health Pays $2.98 Million to Resolve Allegations of Ordering Unnecessary Genetic Testing,2022-01-11,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/uc-san-diego-health-pays-298-million-to-resolve-allegations-of-ordering-unnecessary-genetic-testing/,U.S. Department of Justice
"Auspicious Laboratories Agreed to Pay $112,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Non-Covered Services",2022-01-10,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/auspicious-laboratories-agreed-to-pay-112000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-non-covered-services/,No agency found
"United States Attorney Announces Flint, MI, Man Sentenced to Federal Prison for Aggravated Identity Theft",2022-01-06,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/united-states-attorney-announces-flint-mi-man-sentenced-to-federal-prison-for-aggravated-identity-theft/,"U.S. Attorney’s Office, District of North Dakota"
"Carbon Health Medical Group of Florida Agreed to Pay $92,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",2022-01-06,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/carbon-health-medical-group-of-florida-agreed-to-pay-92000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/,No agency found
"AG Healey Secures $630,000 From Home Health Care Company to Resolve False Billing Allegations",2022-01-06,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ag-healey-secures-630000-from-home-health-care-company-to-resolve-false-billing-allegations/,Massachusetts Attorney General
"Emergency Ambulance Service Agreed to Pay $430,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Covered by the SNF Consolidated Billing Payment",2022-01-05,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/emergency-ambulance-service-agreed-to-pay-430000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-covered-by-the-snf-consolidated-billing-payment/,No agency found
"North Carolina Physician Indicted for Adulterating Medical Devices for Reuse on Patients, Fabricating Records, and Other Charges",2022-01-05,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/north-carolina-physician-indicted-for-adulterating-medical-devices-for-reuse-on-patients-fabricating-records-and-other-charges/,"U.S. Attorney’s Office, Eastern District of North Carolina"
Attorney General Alan Wilson announces arrest of Irmo man for alleged fraud and exploitation of a vulnerable nursing home resident,2022-01-05,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-arrest-of-irmo-man-for-alleged-fraud-and-exploitation-of-a-vulnerable-nursing-home-resident/,South Carolina Attorney General
"Central Medical Systems, LLC, Alan Trent Harley And Joan Harley Agree To Pay $600K To Settle False Claims Act Liability",2022-01-04,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/central-medical-systems-llc-alan-trent-harley-and-joan-harley-agree-to-pay-600k-to-settle-false-claims-act-liability/,"U.S. Attorney’s Office, Middle District of Florida"
"Ohio home healthcare provider agrees to pay $500,000 as part of False Claims Act settlement",2022-01-04,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/ohio-home-healthcare-provider-agrees-to-pay-500000-as-part-of-false-claims-act-settlement/,"U.S. Attorney’s Office, Southern District of Ohio"
"Integrated Pain Management Medical Group Agreed to Pay $10,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing Excluded Individuals",2022-01-04,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/integrated-pain-management-medical-group-agreed-to-pay-10000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-excluded-individuals/,No agency found
Memphis Man Arrested in Case of Vulnerable Adult Abuse,2021-12-30,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/memphis-man-arrested-in-case-of-vulnerable-adult-abuse/,Tennessee Attorney General
"Tristar Centennial Medical Center Agreed to Pay $725,000 for Allegedly Violating Patient Dumping Statute by Failing to Provide Available Stabilizing Treatment",2021-12-29,CMP and Affirmative Exclusions and EMTALA/Patient Dumping,https://oig.hhs.gov/fraud/enforcement/tristar-centennial-medical-center-agreed-to-pay-725000-for-allegedly-violating-patient-dumping-statute-by-failing-to-provide-available-stabilizing-treatment/,No agency found
"Tristar Skyline Medical Center Agreed to Pay $725,000 for Allegedly Violating Patient Dumping Statute by Failing to Provide Available Stabilizing Treatment",2021-12-29,CMP and Affirmative Exclusions and EMTALA/Patient Dumping,https://oig.hhs.gov/fraud/enforcement/tristar-skyline-medical-center-agreed-to-pay-725000-for-allegedly-violating-patient-dumping-statute-by-failing-to-provide-available-stabilizing-treatment/,No agency found
"Merakey Allegheny Valley School Agreed to Pay $126,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",2021-12-29,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/merakey-allegheny-valley-school-agreed-to-pay-126000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/,No agency found
"Merakey Allos Agreed to Pay $196,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",2021-12-29,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/merakey-allos-agreed-to-pay-196000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/,No agency found
"Pastures New III and Pastures New VI Agreed to Pay $112,000 for Allegedly Violating the Civil Monetary Penalties Law by Paying Remuneration in the Form of Above Fair Market Value Payments",2021-12-27,CIA Reportable Events,https://oig.hhs.gov/fraud/enforcement/pastures-new-iii-and-pastures-new-vi-agreed-to-pay-112000-for-allegedly-violating-the-civil-monetary-penalties-law-by-paying-remuneration-in-the-form-of-above-fair-market-value-payments/,No agency found
Attorney General James Announces Indictment of Former Rochester Nursing Home Employee for Allegedly Raping Nursing Home Resident Suffering from Dementia,2021-12-23,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-james-announces-indictment-of-former-rochester-nursing-home-employee-for-allegedly-raping-nursing-home-resident-suffering-from-dementia/,New York Attorney General
Metro East Woman Pleads Guilty to Health Care and Public Housing Scams,2021-12-22,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/metro-east-woman-pleads-guilty-to-health-care-and-public-housing-scams/,"U.S. Attorney’s Office, Southern District of Illinois"
Owner Of Telemedicine Company Pleads Guilty To Health Care Fraud Conspiracy,2021-12-21,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/owner-of-telemedicine-company-pleads-guilty-to-health-care-fraud-conspiracy/,"U.S. Attorney’s Office, Middle District of Tennessee"
Pain Clinic and Ambulatory Surgery Center Agree to Pay $836K to Resolve Allegations of Overbilling,2021-12-21,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pain-clinic-and-ambulatory-surgery-center-agree-to-pay-836k-to-resolve-allegations-of-overbilling/,"U.S. Attorney’s Office, Western District of Texas"
"LI Urgent Care Agreed to Pay $44,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services that Lacked Proper Supervision",2021-12-21,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/li-urgent-care-agreed-to-pay-44000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-that-lacked-proper-supervision/,No agency found
Registered Nurse Sentenced for Drug Diversion,2021-12-20,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/registered-nurse-sentenced-for-drug-diversion/,"U.S. Attorney’s Office, District of Massachusetts"
Former Memphis Caregiver Indicted in Vulnerable Adult Abuse Case,2021-12-20,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/former-memphis-caregiver-indicted-in-vulnerable-adult-abuse-case/,Tennessee Attorney General
Former Indian Health Service Doctor Sentenced to 120 Months of Imprisonment for Abusive Sexual Contact,2021-12-16,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-indian-health-service-doctor-sentenced-to-120-months-of-imprisonment-for-abusive-sexual-contact/,"U.S. Attorney’s Office, District of South Dakota"
Former Long Island Doctor Sentenced to 23 Years in Prison for Causing the Overdose Deaths of Two Patients and Illegally Distributing Oxycodone,2021-12-16,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-long-island-doctor-sentenced-to-23-years-in-prison-for-causing-the-overdose-deaths-of-two-patients-and-illegally-distributing-oxycodone/,"U.S. Attorney’s Office, Eastern District of New York"
California Man Convicted of Federal Violations in Health Care Kickback Scheme,2021-12-16,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/california-man-convicted-of-federal-violations-in-health-care-kickback-scheme/,"U.S. Attorney’s Office, Eastern District of Texas"
Medical Equipment Company Owners Sentenced to More Than 12 Years for $27 Million Fraud Scheme,2021-12-16,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/medical-equipment-company-owners-sentenced-to-more-than-12-years-for-27-million-fraud-scheme/,U.S. Department of Justice
Tennessee Nurse Practitioner Arrested for Unlawfully Distributing Prescription Opioids,2021-12-16,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/tennessee-nurse-practitioner-arrested-for-unlawfully-distributing-prescription-opioids/,U.S. Department of Justice
Carr: Two Indicted in Clayton County for Conspiracy to Commit Medicaid Fraud,2021-12-16,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/carr-two-indicted-in-clayton-county-for-conspiracy-to-commit-medicaid-fraud/,Georgia Attorney General
Attorney General Josh Stein Announces Health Care Fraud Sentencings,2021-12-16,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-josh-stein-announces-health-care-fraud-sentencings/,North Carolina Attorney General
Missoula vascular surgeon settles alleged health care fraud claims for $3.7 million,2021-12-15,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/missoula-vascular-surgeon-settles-alleged-health-care-fraud-claims-for-37-million/,"U.S. Attorney’s Office, District of Montana"
Philadelphia Pharmacy and Its Owner Agree to Pay $1 Million to Resolve False Claims Act Liability,2021-12-13,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/philadelphia-pharmacy-and-its-owner-agree-to-pay-1-million-to-resolve-false-claims-act-liability/,"U.S. Attorney’s Office, Eastern District of Pennsylvania"
"Physician Agrees to Pay $375,000 to Resolve False Claims Act Allegations of P-Stim Device Fraud",2021-12-13,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/physician-agrees-to-pay-375000-to-resolve-false-claims-act-allegations-of-p-stim-device-fraud/,"U.S. Attorney’s Office, Southern District of Mississippi"
Attorney General Bonta Announces Guilty Plea of Vista Caretaker for Committing Multiple Acts of Financial and Sexual Elder Abuse in San Diego County,2021-12-13,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-bonta-announces-guilty-plea-of-vista-caretaker-for-committing-multiple-acts-of-financial-and-sexual-elder-abuse-in-san-diego-county/,California Attorney General
"Jade Malay, FNP, DC, Apex Physical Medicine, and Malay Medical Management Agreed to Be Excluded for 10 Years for Causing the Submission of False Claims for Neuro-Stimulators",2021-12-10,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/jade-malay-fnp-dc-apex-physical-medicine-and-malay-medical-management-agreed-to-be-excluded-for-10-years-for-causing-the-submission-of-false-claims-for-neuro-stimulators/,No agency found
Owner of Local Compounding Pharmacies Sentenced to Federal Prison for Tax Evasion and Health Care Fraud,2021-12-10,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/owner-of-local-compounding-pharmacies-sentenced-to-federal-prison-for-tax-evasion-and-health-care-fraud/,"U.S. Attorney’s Office, District of Oregon"
York County Nurse Charged With Stealing Prescription Drugs From A Hospice Patient,2021-12-10,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/york-county-nurse-charged-with-stealing-prescription-drugs-from-a-hospice-patient/,"U.S. Attorney’s Office, Middle District of Pennsylvania"
"Former Albany Physician Pays $125,000 for Overprescribing Opioids",2021-12-10,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-albany-physician-pays-125000-for-overprescribing-opioids/,"U.S. Attorney’s Office, Northern District of New York"
"Bay County Emergency Medical Services Agreed to Pay $869,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Improper Ambulance Transportation Services",2021-12-10,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/bay-county-emergency-medical-services-agreed-to-pay-869000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-improper-ambulance-transportation-services/,No agency found
"Ocean Mind and Body and Laura Rausa Agreed to Pay $62,000 for Allegedly Violating the Civil Monetary Penalties Law by Falsely Certifying to Their Eligibility to Receive CARES Act Provider Relief Funds",2021-12-09,CMP and Affirmative Exclusions and COVID-19,https://oig.hhs.gov/fraud/enforcement/ocean-mind-and-body-and-laura-rausa-agreed-to-pay-62000-for-allegedly-violating-the-civil-monetary-penalties-law-by-falsely-certifying-to-their-eligibility-to-receive-cares-act-provider-relief-funds/,No agency found
Dominican National Arrested for Identity Theft and Unemployment Fraud Related to COVID-19 Pandemic,2021-12-09,COVID-19 and Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/dominican-national-arrested-for-identity-theft-and-unemployment-fraud-related-to-covid-19-pandemic/,"U.S. Attorney’s Office, District of Massachusetts"
Medical Director at Bridgeville Suboxone Clinic Sentenced for Unlawful Dispensing of Controlled Substances,2021-12-09,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/medical-director-at-bridgeville-suboxone-clinic-sentenced-for-unlawful-dispensing-of-controlled-substances/,"U.S. Attorney’s Office, Western District of Pennsylvania"
"Walgreen Co. Agreed to Pay $512,000 for Allegedly Violating the Civil Monetary Penalties Law by Paying Remuneration to Health Care Professionals in the Form of Discounts on Retail Product Purchases",2021-12-08,CIA Reportable Events,https://oig.hhs.gov/fraud/enforcement/walgreen-co-agreed-to-pay-512000-for-allegedly-violating-the-civil-monetary-penalties-law-by-paying-remuneration-to-health-care-professionals-in-the-form-of-discounts-on-retail-product-purchases/,No agency found
Florida Woman Sentenced in Multi-Million Dollar Medicare Fraud Scheme,2021-12-08,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/florida-woman-sentenced-in-multi-million-dollar-medicare-fraud-scheme/,"U.S. Attorney’s Office, District of Massachusetts"
Dr. Jeffrey M. Gallups and Entellus Medical agree to pay $4.2 million to resolve False Claims Act lawsuit alleging kick-back arrangements,2021-12-08,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/dr-jeffrey-m-gallups-and-entellus-medical-agree-to-pay-42-million-to-resolve-false-claims-act-lawsuit-alleging-kick-back-arrangements/,"U.S. Attorney’s Office, Northern District of Georgia"
Nixa Physician Pleads Guilty to Making a False Statement Related to Healthcare and Conspiracy,2021-12-08,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/nixa-physician-pleads-guilty-to-making-a-false-statement-related-to-healthcare-and-conspiracy/,"U.S. Attorney’s Office, Western District of Missouri"
Pharmacist and Two Pharmacies Agree to Pay $1 Million to Resolve Allegations of False Claims for Anti-Overdose Drug,2021-12-08,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pharmacist-and-two-pharmacies-agree-to-pay-1-million-to-resolve-allegations-of-false-claims-for-anti-overdose-drug/,U.S. Department of Justice
"Pittsburgh Resident Sentenced to More Than Five Years in Prison for Conspiracy, Health Care Fraud, and Aggravated Identity Theft",2021-12-01,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pittsburgh-resident-sentenced-to-more-than-five-years-in-prison-for-conspiracy-health-care-fraud-and-aggravated-identity-theft/,"U.S. Attorney’s Office, Western District of Pennsylvania"
Crossroads Hospice Agrees to Pay $5.5 Million to Settle False Claims Act Liability,2021-12-01,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/crossroads-hospice-agrees-to-pay-55-million-to-settle-false-claims-act-liability-2/,"U.S. Attorney’s Office, Western District of Tennessee"
"Dr. Meir Daller Agreed to Pay $455,000 and Be Excluded for 3 Years for Allegedly Violating the Civil Monetary Penalties Law by Submitting False and Medically Unnecessary Claims Associated with Urology Services",2021-11-30,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/dr-meir-daller-agreed-to-pay-455000-and-be-excluded-for-3-years-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-false-and-medically-unnecessary-claims-associated-with-urology-services/,No agency found
Two San Antonians Sentenced to Prison for Health Care Fraud Schemes,2021-11-30,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/two-san-antonians-sentenced-to-prison-for-health-care-fraud-schemes/,"U.S. Attorney’s Office, Western District of Texas"
Chicago Woman Sentenced to 56 months for Home Health Care Fraud,2021-11-30,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/chicago-woman-sentenced-to-56-months-for-home-health-care-fraud/,U.S. Department of Justice
Attorney General Ford Announces Sentencing of Las Vegas Medicaid Provider Randi Jewel Lewis in Fraud Case,2021-11-29,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-ford-announces-sentencing-of-las-vegas-medicaid-provider-randi-jewel-lewis-in-fraud-case/,Nevada Attorney General
U.S. Attorney Files Civil Fraud Lawsuit Against Non-Profit And Settles Fraud Claims Against Its Founder For Inflating Medicaid Reimbursements By Falsely Reporting Millions In Costs,2021-11-24,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/us-attorney-files-civil-fraud-lawsuit-against-non-profit-and-settles-fraud-claims-against-its-founder-for-inflating-medicaid-reimbursements-by-falsely-reporting-millions-in-costs/,"U.S. Attorney’s Office, Southern District of New York"
South Carolina Chiropractor Pleads Guilty and Agrees to $9 Million False Claims Act Consent Judgment,2021-11-23,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/south-carolina-chiropractor-pleads-guilty-and-agrees-to-9-million-false-claims-act-consent-judgment-2/,"U.S. Attorney’s Office, District of South Carolina"
Kentucky Physician Sentenced for Unlawful Kickback Conspiracy,2021-11-23,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/kentucky-physician-sentenced-for-unlawful-kickback-conspiracy/,"U.S. Attorney’s Office, Western District of Pennsylvania"
Crossroads Hospice Agrees to Pay $5.5 Million to Settle False Claims Act Liability,2021-11-23,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/crossroads-hospice-agrees-to-pay-55-million-to-settle-false-claims-act-liability/,U.S. Department of Justice
Home health agency to pay $4.2 million to settle False Claims Act allegations,2021-11-22,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/home-health-agency-to-pay-42-million-to-settle-false-claims-act-allegations/,"U.S. Attorney’s Office, Northern District of Georgia"
Edgerton Doctor Sentenced to 54 Months for $13 Million Scheme to Defraud Medicare,2021-11-22,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/edgerton-doctor-sentenced-to-54-months-for-13-million-scheme-to-defraud-medicare/,"U.S. Attorney’s Office, Western District of Wisconsin"
"Keystone Laboratories Agreed to Pay $24,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Non-Covered Services",2021-11-19,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/keystone-laboratories-agreed-to-pay-24000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-non-covered-services/,No agency found
Seattle Doctor Found Guilty of Fraudulently Obtaining Millions of Dollars from COVID-19 Relief Programs,2021-11-19,COVID-19 and Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/seattle-doctor-found-guilty-of-fraudulently-obtaining-millions-of-dollars-from-covid-19-relief-programs/,U.S. Department of Justice
"Florida Counseling Center Owner And Provider Sentenced To Federal Prison For Medicaid Fraud, Conspiracy, False Statements, And Identity Theft",2021-11-19,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/florida-counseling-center-owner-and-provider-sentenced-to-federal-prison-for-medicaid-fraud-conspiracy-false-statements-and-identity-theft/,"2021; U.S. Attorney’s Office, Northern District of Florida"
Licensed Attorney Pleads Guilty to Defrauding Medicaid in Scheme Involving Personal Care Services,2021-11-19,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/licensed-attorney-pleads-guilty-to-defrauding-medicaid-in-scheme-involving-personal-care-services/,"U.S. Attorney’s Office, District of Columbia"
"Post Falls Doctor Pays $110,000 to Settle Allegations that He Overprescribed Opioids",2021-11-19,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/post-falls-doctor-pays-110000-to-settle-allegations-that-he-overprescribed-opioids/,"U.S. Attorney’s Office, District of Idaho"
Dominican National Sentenced for Social Security Misuse and Making a False Statement,2021-11-19,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/dominican-national-sentenced-for-social-security-misuse-and-making-a-false-statement/,"U.S. Attorney’s Office, District of Massachusetts"
Two Florida Men Indicted in Multimillion-Dollar Health Care Fraud Schemes,2021-11-19,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/two-florida-men-indicted-in-multimillion-dollar-health-care-fraud-schemes/,"U.S. Attorney’s Office, District of New Jersey"
Louisville Pharmacist Sentenced to Federal Prison for Health Care Fraud Scheme Involving Pain Cream Prescriptions,2021-11-19,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/louisville-pharmacist-sentenced-to-federal-prison-for-health-care-fraud-scheme-involving-pain-cream-prescriptions/,"U.S. Attorney’s Office, Western District of Kentucky"
"Balboa Ambulance Agreed to Pay $22,000 and Be Excluded for 5 Years for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Covered by the SNF Consolidated Billing Payment",2021-12-07,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/balboa-ambulance-agreed-to-pay-22000-and-be-excluded-for-5-years-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-covered-by-the-snf-consolidated-billing-payment/,No agency found
"MedStar Ambulance Agreed to Pay $638,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Covered by the SNF Consolidated Billing Payment",2021-12-07,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/medstar-ambulance-agreed-to-pay-638000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-covered-by-the-snf-consolidated-billing-payment/,No agency found
"Quest Diagnostics Incorporated Agreed to Pay $48,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Non-Covered Services",2021-12-07,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/quest-diagnostics-incorporated-agreed-to-pay-48000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-non-covered-services/,No agency found
Pathology Practice Agrees to Pay $2.4 Million to Resolve False Claims Act Allegations,2021-12-07,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pathology-practice-agrees-to-pay-24-million-to-resolve-false-claims-act-allegations/,"U.S. Attorney’s Office, District of New Jersey"
Queens Pharmacist Indicted for Conspiring to Accept Kickbacks and Making False Statements,2021-12-07,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/queens-pharmacist-indicted-for-conspiring-to-accept-kickbacks-and-making-false-statements/,"U.S. Attorney’s Office, Eastern District of New York"
Greensburg Doctor Sentenced to Nearly Five Years in Prison for Accepting Kickbacks in Exchange for Prescribing Fentanyl,2021-12-07,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/greensburg-doctor-sentenced-to-nearly-five-years-in-prison-for-accepting-kickbacks-in-exchange-for-prescribing-fentanyl/,"U.S. Attorney’s Office, Western District of Pennsylvania"
Attorney General Bonta Announces Sentencing of Medical Director of Long Beach Addiction Clinic in Connection to Four-Year Medi-Cal Fraud Scheme,2021-12-07,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-bonta-announces-sentencing-of-medical-director-of-long-beach-addiction-clinic-in-connection-to-four-year-medi-cal-fraud-scheme/,California Attorney General
Man Facing Federal Charges for Selling Fraudulent Covid-19 Vaccination Cards and Distributing Them Through a Mail Service,2021-12-03,COVID-19 and Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/man-facing-federal-charges-for-selling-fraudulent-covid-19-vaccination-cards-and-distributing-them-through-a-mail-service/,"U.S. Attorney’s Office, District of Maryland"
Federal Indictment Returned Against Nursing Director for Producing Fraudulent COVID Vaccine Cards and Lying to Federal Investigators,2021-12-03,COVID-19 and Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/federal-indictment-returned-against-nursing-director-for-producing-fraudulent-covid-vaccine-cards-and-lying-to-federal-investigators/,"U.S. Attorney’s Office, District of South Carolina"
"Tampa Bay Area Medical Biller Pleads Guilty To Healthcare Fraud, Aggravated Identity Theft, And Tax Offenses",2021-12-03,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/tampa-bay-area-medical-biller-pleads-guilty-to-healthcare-fraud-aggravated-identity-theft-and-tax-offenses/,"U.S. Attorney’s Office, Middle District of Florida"
Clay County Pharmacy Investigation Results In Criminal Charges Against Six More Individuals In Opioid Distribution And Health Care Fraud Conspiracy,2021-12-03,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/clay-county-pharmacy-investigation-results-in-criminal-charges-against-six-more-individuals-in-opioid-distribution-and-health-care-fraud-conspiracy/,"U.S. Attorney’s Office, Middle District of Tennessee"
Federal Jury Convicts Pharmacy Owner for Role in $174 Million Telemedicine Pharmacy Fraud Scheme,2021-12-03,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/federal-jury-convicts-pharmacy-owner-for-role-in-174-million-telemedicine-pharmacy-fraud-scheme/,U.S. Department of Justice
"Federal Jury Convicts Pharmacy Owner Of Conspiracy, Mail Fraud, And Misbranding For Role In Multi-Million Dollar Telemedicine Pharmacy Fraud Scheme",2021-12-02,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/federal-jury-convicts-pharmacy-owner-of-conspiracy-mail-fraud-and-misbranding-for-role-in-multi-million-dollar-telemedicine-pharmacy-fraud-scheme/,"U.S. Attorney’s Office, Eastern District of Tennessee"
Mississippi Resident Sentenced to 78 Months in Prison for Healthcare Fraud,2021-12-02,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/mississippi-resident-sentenced-to-78-months-in-prison-for-healthcare-fraud/,"U.S. Attorney’s Office, Northern District of Alabama"
Two Novus Doctors Sentenced to Combined 23 Years in Prison for Healthcare Fraud,2021-12-02,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/two-novus-doctors-sentenced-to-combined-23-years-in-prison-for-healthcare-fraud/,"U.S. Attorney’s Office, Northern District of Texas"
Flower Mound Hospital to Pay $18.2 Million to Settle Federal and State False Claims Act Allegations Arising from Improper Inducements to Referring Physicians,2021-12-02,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/flower-mound-hospital-to-pay-182-million-to-settle-federal-and-state-false-claims-act-allegations-arising-from-improper-inducements-to-referring-physicians/,U.S. Department of Justice
